sector,month,beat_nifty_pct,avg_excess_ret,avg_abs_ret,n_obs
Insurance,12,41.2,-1.03,0.87,34
Internet,1,22.2,-1.16,-1.44,9
Internet,2,40.0,-0.73,-1.98,10
Internet,3,40.0,-1.52,-1.78,10
Internet,4,60.0,3.12,5.56,10
Internet,5,70.0,0.2,1.68,10
Internet,6,70.0,4.64,5.85,10
Internet,7,50.0,1.6,5.17,10
Internet,8,30.0,1.33,2.25,10
Internet,9,60.0,2.08,1.71,10
Internet,10,40.0,1.91,2.51,10
Internet,11,70.0,5.93,7.49,10
Internet,12,60.0,-0.04,1.55,10
Logistics,1,55.6,-1.09,-1.37,18
Logistics,2,50.0,2.88,1.63,20
Logistics,3,60.0,1.17,0.91,20
Logistics,4,60.0,3.19,5.63,20
Logistics,5,70.0,1.86,3.34,20
Logistics,6,25.0,-1.79,-0.58,20
Logistics,7,55.0,-0.52,3.04,20
Logistics,8,45.0,0.03,0.95,20
Logistics,9,55.0,0.08,-0.29,20
Logistics,10,40.0,-0.32,0.28,20
Logistics,11,35.0,-1.83,-0.26,20
Logistics,12,40.0,0.11,1.7,20
Media,1,33.3,-8.14,-8.42,9
Media,2,30.0,-4.54,-5.79,10
Media,3,50.0,-2.05,-2.31,10
Media,4,30.0,-2.29,0.15,10
Media,5,60.0,0.1,1.59,10
Media,6,30.0,-3.42,-2.21,10
Media,7,60.0,2.44,6.01,10
Media,8,60.0,2.8,3.72,10
Media,9,60.0,4.83,4.45,10
Media,10,30.0,-2.4,-1.79,10
Media,11,60.0,1.28,2.85,10
Media,12,30.0,-0.1,1.48,10
Metals,1,36.1,-1.1,-1.38,36
Metals,2,60.0,1.99,0.74,40
Metals,3,47.5,-0.05,-0.31,40
Metals,4,80.0,7.72,10.17,40
Metals,5,40.0,-3.15,-1.67,40
Metals,6,42.5,-0.45,0.76,40
Metals,7,52.5,1.74,5.31,40
Metals,8,60.0,1.58,2.49,40
Metals,9,57.5,0.18,-0.2,40
Metals,10,45.0,0.32,0.92,40
Metals,11,55.0,2.61,4.18,40
Metals,12,75.0,3.69,5.28,40
Mining,1,55.6,0.68,0.4,9
Mining,2,90.0,5.8,4.55,10
Mining,3,40.0,-1.23,-1.49,10
Mining,4,60.0,-0.21,2.23,10
Mining,5,60.0,1.68,3.16,10
Mining,6,40.0,-3.3,-2.09,10
Mining,7,40.0,-2.69,0.88,10
Mining,8,50.0,-0.68,0.24,10
Mining,9,40.0,3.75,3.37,10
Mining,10,60.0,0.02,0.62,10
Mining,11,30.0,-1.31,0.25,10
Mining,12,50.0,-1.0,0.59,10
NBFC,1,52.4,0.25,-0.03,63
NBFC,2,60.0,2.09,0.84,70
NBFC,3,54.3,-0.13,-0.39,70
NBFC,4,61.4,2.55,4.99,70
NBFC,5,48.6,-0.85,0.63,70
NBFC,6,64.3,4.35,5.56,70
NBFC,7,58.6,3.51,7.07,70
NBFC,8,58.6,1.6,2.52,70
NBFC,9,51.4,-0.09,-0.46,70
NBFC,10,55.7,1.03,1.64,70
NBFC,11,50.0,1.64,3.21,70
NBFC,12,48.6,0.74,2.32,70
Pharma,1,45.7,-1.2,-1.52,94
Pharma,2,50.5,0.27,-0.92,103
Pharma,3,48.5,1.52,1.37,103
Pharma,4,59.2,2.45,4.89,103
Pharma,5,34.0,-3.84,-2.38,103
Pharma,6,62.1,1.72,2.97,103
Pharma,7,61.2,1.88,5.48,103
Pharma,8,57.3,1.5,2.56,103
Pharma,9,55.3,1.58,1.24,103
Pharma,10,47.6,-1.1,-0.57,103
Pharma,11,49.5,-0.32,1.27,103
Pharma,12,50.0,0.07,1.72,104
Real Estate,1,53.3,1.28,1.0,45
Real Estate,2,54.0,0.44,-0.81,50
Real Estate,3,44.0,0.03,-0.23,50
Real Estate,4,48.0,1.74,4.18,50
Real Estate,5,42.0,-0.14,1.34,50
Real Estate,6,58.0,2.69,3.9,50
Real Estate,7,48.0,0.58,4.15,50
Real Estate,8,48.0,0.77,1.69,50
Real Estate,9,46.0,2.69,2.31,50
Real Estate,10,58.0,1.78,2.38,50
Real Estate,11,64.0,2.07,3.63,50
Real Estate,12,60.0,2.22,3.8,50
Retail,1,21.1,-4.12,-4.51,19
Retail,2,70.0,6.66,5.38,20
Retail,3,65.0,2.66,2.2,20
Retail,4,47.6,-1.22,1.37,21
Retail,5,42.9,-0.97,0.07,21
Retail,6,61.9,4.12,5.49,21
Retail,7,61.9,1.35,5.19,21
Retail,8,81.0,7.01,8.21,21
Retail,9,57.1,1.43,1.2,21
Retail,10,52.4,-1.33,-1.02,21
Retail,11,38.1,0.87,3.11,21
Retail,12,50.0,-0.04,1.63,22
Telecom,1,55.6,1.82,1.54,9
Telecom,2,50.0,1.49,0.24,10
Telecom,3,60.0,1.46,1.2,10
Telecom,4,80.0,1.87,4.32,10
Telecom,5,60.0,1.01,2.5,10
Telecom,6,50.0,0.08,1.29,10
Telecom,7,30.0,-1.75,1.82,10
Telecom,8,50.0,-0.59,0.33,10
Telecom,9,50.0,-0.76,-1.14,10
Telecom,10,50.0,1.45,2.05,10
Telecom,11,70.0,3.51,5.07,10
Telecom,12,40.0,-1.24,0.35,10
Textiles,1,44.4,-2.88,-3.16,9
Textiles,2,20.0,-2.85,-4.1,10
Textiles,3,50.0,4.52,4.26,10
Textiles,4,50.0,-0.2,2.24,10
Textiles,5,60.0,0.89,2.37,10
Textiles,6,50.0,1.09,2.3,10
Textiles,7,30.0,-1.54,2.03,10
Textiles,8,70.0,3.64,4.56,10
Textiles,9,60.0,2.94,2.56,10
Textiles,10,60.0,2.96,3.57,10
Textiles,11,40.0,-3.52,-1.96,10
Textiles,12,70.0,2.65,4.24,10
Travel,1,100.0,10.33,8.98,5
Travel,2,40.0,10.81,10.06,5
Travel,3,0.0,-7.51,-10.76,5
Travel,4,80.0,7.02,10.52,5
Travel,5,40.0,1.21,1.79,5
Travel,6,20.0,-6.51,-3.78,5
Travel,7,40.0,0.18,4.85,5
Travel,8,60.0,3.38,6.11,5
Travel,9,60.0,7.84,8.27,5
Travel,10,40.0,-0.49,-0.46,5
Travel,11,50.0,-2.34,0.72,6
Travel,12,50.0,1.4,3.63,6
Utilities,1,60.0,3.26,3.03,80
Utilities,2,49.4,0.97,-0.25,87
Utilities,3,47.1,1.1,0.8,87
Utilities,4,52.9,1.87,4.47,87
Utilities,5,40.2,-1.54,-0.12,87
Utilities,6,54.0,0.39,1.64,87
Utilities,7,49.4,-0.43,3.16,87
Utilities,8,53.4,1.98,3.07,88
Utilities,9,45.5,0.19,-0.19,88
Utilities,10,51.7,1.12,1.71,89
Utilities,11,49.4,0.36,1.96,89
Utilities,12,47.2,0.97,2.57,89
