date,total_stocks,up_gt_1pct,up_gt_2pct,down_gt_1pct,down_gt_2pct,moved_gt_1pct,moved_gt_2pct,pct_moved_gt_1pct,pct_moved_gt_2pct,pct_up_gt_1pct,pct_up_gt_2pct,pct_down_gt_1pct,pct_down_gt_2pct
2024-06-04,2186,65,41,1940,1769,2005,1810,91.7,82.8,3.0,1.9,88.7,80.9
2024-06-05,2187,1451,1204,358,231,1809,1435,82.7,65.6,66.3,55.1,16.4,10.6
2024-06-06,2186,1552,1208,157,63,1709,1271,78.2,58.1,71.0,55.3,7.2,2.9
2024-06-07,2185,1437,876,150,54,1587,930,72.6,42.6,65.8,40.1,6.9,2.5
2024-06-10,2208,953,616,361,176,1314,792,59.5,35.9,43.2,27.9,16.3,8.0
2024-06-11,2186,850,548,336,146,1186,694,54.3,31.7,38.9,25.1,15.4,6.7
2024-06-12,2187,867,485,276,111,1143,596,52.3,27.3,39.6,22.2,12.6,5.1
2024-06-13,2188,760,461,362,138,1122,599,51.3,27.4,34.7,21.1,16.5,6.3
2024-06-14,2183,739,428,407,152,1146,580,52.5,26.6,33.9,19.6,18.6,7.0
2024-06-17,2183,739,428,407,152,1146,580,52.5,26.6,33.9,19.6,18.6,7.0
2024-06-18,2207,732,474,575,278,1307,752,59.2,34.1,33.2,21.5,26.1,12.6
2024-06-19,2182,467,298,861,403,1328,701,60.9,32.1,21.4,13.7,39.5,18.5
2024-06-20,2182,803,473,346,160,1149,633,52.7,29.0,36.8,21.7,15.9,7.3
2024-06-21,2178,491,292,670,325,1161,617,53.3,28.3,22.5,13.4,30.8,14.9
2024-06-24,2211,655,411,645,303,1300,714,58.8,32.3,29.6,18.6,29.2,13.7
2024-06-25,2183,482,270,679,325,1161,595,53.2,27.3,22.1,12.4,31.1,14.9
2024-06-26,2183,539,309,643,265,1182,574,54.1,26.3,24.7,14.2,29.5,12.1
2024-06-27,2183,362,197,993,600,1355,797,62.1,36.5,16.6,9.0,45.5,27.5
2024-06-28,2184,613,339,448,193,1061,532,48.6,24.4,28.1,15.5,20.5,8.8
2024-07-01,2216,1058,702,289,137,1347,839,60.8,37.9,47.7,31.7,13.0,6.2
2024-07-02,2186,597,369,598,255,1195,624,54.7,28.5,27.3,16.9,27.4,11.7
2024-07-03,2184,776,435,358,140,1134,575,51.9,26.3,35.5,19.9,16.4,6.4
2024-07-04,2183,637,372,465,172,1102,544,50.5,24.9,29.2,17.0,21.3,7.9
2024-07-05,2184,701,409,434,171,1135,580,52.0,26.6,32.1,18.7,19.9,7.8
2024-07-08,2220,496,314,849,435,1345,749,60.6,33.7,22.3,14.1,38.2,19.6
2024-07-09,2184,579,332,575,267,1154,599,52.8,27.4,26.5,15.2,26.3,12.2
2024-07-10,2189,319,176,1073,597,1392,773,63.6,35.3,14.6,8.0,49.0,27.3
2024-07-11,2186,718,441,352,126,1070,567,48.9,25.9,32.8,20.2,16.1,5.8
2024-07-12,2188,445,270,780,383,1225,653,56.0,29.8,20.3,12.3,35.6,17.5
2024-07-15,2227,645,386,616,312,1261,698,56.6,31.3,29.0,17.3,27.7,14.0
2024-07-16,2188,571,331,525,237,1096,568,50.1,26.0,26.1,15.1,24.0,10.8
2024-07-17,2188,571,331,525,237,1096,568,50.1,26.0,26.1,15.1,24.0,10.8
2024-07-18,2186,330,192,1088,647,1418,839,64.9,38.4,15.1,8.8,49.8,29.6
2024-07-19,2187,149,84,1576,1156,1725,1240,78.9,56.7,6.8,3.8,72.1,52.9
2024-07-22,2227,760,457,511,264,1271,721,57.1,32.4,34.1,20.5,22.9,11.9
2024-07-23,2186,485,281,789,429,1274,710,58.3,32.5,22.2,12.9,36.1,19.6
2024-07-24,2187,1251,880,234,96,1485,976,67.9,44.6,57.2,40.2,10.7,4.4
2024-07-25,2185,673,408,583,265,1256,673,57.5,30.8,30.8,18.7,26.7,12.1
2024-07-26,2189,1056,583,299,136,1355,719,61.9,32.8,48.2,26.6,13.7,6.2
2024-07-29,2228,768,473,462,239,1230,712,55.2,32.0,34.5,21.2,20.7,10.7
2024-07-30,2188,736,455,420,172,1156,627,52.8,28.7,33.6,20.8,19.2,7.9
2024-07-31,2191,611,354,556,243,1167,597,53.3,27.2,27.9,16.2,25.4,11.1
2024-08-01,2202,368,210,1010,580,1378,790,62.6,35.9,16.7,9.5,45.9,26.3
2024-08-02,2200,414,230,897,418,1311,648,59.6,29.5,18.8,10.5,40.8,19.0
2024-08-05,2233,102,69,1977,1768,2079,1837,93.1,82.3,4.6,3.1,88.5,79.2
2024-08-06,2201,417,248,1005,600,1422,848,64.6,38.5,18.9,11.3,45.7,27.3
2024-08-07,2201,1500,1062,181,110,1681,1172,76.4,53.2,68.2,48.3,8.2,5.0
2024-08-08,2199,500,308,799,401,1299,709,59.1,32.2,22.7,14.0,36.3,18.2
2024-08-09,2196,819,444,444,242,1263,686,57.5,31.2,37.3,20.2,20.2,11.0
2024-08-12,2232,606,381,751,399,1357,780,60.8,34.9,27.2,17.1,33.6,17.9
2024-08-13,2201,282,146,1280,850,1562,996,71.0,45.3,12.8,6.6,58.2,38.6
2024-08-14,2199,405,213,949,567,1354,780,61.6,35.5,18.4,9.7,43.2,25.8
2024-08-15,2199,405,213,949,567,1354,780,61.6,35.5,18.4,9.7,43.2,25.8
2024-08-16,2201,1137,638,338,194,1475,832,67.0,37.8,51.7,29.0,15.4,8.8
2024-08-19,2237,1064,704,307,147,1371,851,61.3,38.0,47.6,31.5,13.7,6.6
2024-08-20,2205,794,459,388,170,1182,629,53.6,28.5,36.0,20.8,17.6,7.7
2024-08-21,2206,895,541,314,129,1209,670,54.8,30.4,40.6,24.5,14.2,5.8
2024-08-22,2205,752,457,392,167,1144,624,51.9,28.3,34.1,20.7,17.8,7.6
2024-08-23,2205,578,331,593,234,1171,565,53.1,25.6,26.2,15.0,26.9,10.6
2024-08-26,2237,670,396,596,300,1266,696,56.6,31.1,30.0,17.7,26.6,13.4
2024-08-27,2205,642,371,454,200,1096,571,49.7,25.9,29.1,16.8,20.6,9.1
2024-08-28,2206,444,230,698,334,1142,564,51.8,25.6,20.1,10.4,31.6,15.1
2024-08-29,2206,287,158,987,509,1274,667,57.8,30.2,13.0,7.2,44.7,23.1
2024-08-30,2204,692,382,424,178,1116,560,50.6,25.4,31.4,17.3,19.2,8.1
2024-09-02,2245,468,255,855,440,1323,695,58.9,31.0,20.8,11.4,38.1,19.6
2024-09-03,2216,549,297,472,206,1021,503,46.1,22.7,24.8,13.4,21.3,9.3
2024-09-04,2218,553,308,575,233,1128,541,50.9,24.4,24.9,13.9,25.9,10.5
2024-09-05,2216,733,411,378,158,1111,569,50.1,25.7,33.1,18.5,17.1,7.1
2024-09-06,2216,298,166,1194,634,1492,800,67.3,36.1,13.4,7.5,53.9,28.6
2024-09-09,2250,436,262,961,492,1397,754,62.1,33.5,19.4,11.6,42.7,21.9
2024-09-10,2218,976,523,281,145,1257,668,56.7,30.1,44.0,23.6,12.7,6.5
2024-09-11,2221,384,224,973,501,1357,725,61.1,32.6,17.3,10.1,43.8,22.6
2024-09-12,2226,822,381,398,181,1220,562,54.8,25.2,36.9,17.1,17.9,8.1
2024-09-13,2226,808,456,336,140,1144,596,51.4,26.8,36.3,20.5,15.1,6.3
2024-09-16,2262,641,417,608,303,1249,720,55.2,31.8,28.3,18.4,26.9,13.4
2024-09-17,2231,413,227,776,377,1189,604,53.3,27.1,18.5,10.2,34.8,16.9
2024-09-18,2230,391,222,943,460,1334,682,59.8,30.6,17.5,10.0,42.3,20.6
2024-09-19,2231,282,127,1213,820,1495,947,67.0,42.4,12.6,5.7,54.4,36.8
