symbol,sector,setup,entry_date,exit_date,pnl,r_multiple,win,exit_reason,trading_days,market_state
GODREJCP.NS,FMCG,A_flat_base,2017-05-10,2018-06-01,2048.16,2.048,True,target_2r,266,bull
GODREJCP.NS,FMCG,A_flat_base,2018-07-12,2018-09-21,-1094.89,-1.095,False,stop,48,bull
GODREJCP.NS,FMCG,A_flat_base,2021-05-28,2021-06-14,2371.7,2.372,True,target_2r,12,bull
GODREJCP.NS,FMCG,A_flat_base,2021-07-07,2022-01-24,-1044.2,-1.044,False,stop,138,bull
GODREJCP.NS,FMCG,A_flat_base,2024-06-06,2024-10-24,-958.85,-0.959,False,stop,97,bull
SIEMENS.NS,Capital Goods,A_flat_base,2016-07-01,2016-10-27,-1080.97,-1.081,False,stop,79,bull
SIEMENS.NS,Capital Goods,A_flat_base,2017-05-10,2017-06-12,-1154.8,-1.155,False,stop,24,bull
SIEMENS.NS,Capital Goods,A_flat_base,2019-07-01,2019-07-10,-1158.49,-1.158,False,stop,8,bull
SIEMENS.NS,Capital Goods,A_flat_base,2020-11-27,2021-02-03,2020.03,2.02,True,target_2r,46,bull
SIEMENS.NS,Capital Goods,A_flat_base,2024-05-07,2024-05-21,1834.34,1.834,True,target_2r,10,bull
ABB.NS,Capital Goods,A_flat_base,2016-05-11,2016-05-20,-946.43,-0.946,False,stop,8,bull
ABB.NS,Capital Goods,A_flat_base,2017-05-10,2017-06-06,-1099.81,-1.1,False,stop,20,bull
ABB.NS,Capital Goods,A_flat_base,2021-01-19,2021-02-04,1895.6,1.896,True,target_2r,12,bull
ABB.NS,Capital Goods,A_flat_base,2021-06-24,2021-07-27,-1114.36,-1.114,False,stop,23,bull
ABB.NS,Capital Goods,A_flat_base,2023-05-05,2023-06-13,1856.18,1.856,True,target_2r,28,bull
ABB.NS,Capital Goods,A_flat_base,2024-03-28,2024-05-13,1328.07,1.328,True,target_2r,29,bull
LUPIN.NS,Pharma,A_flat_base,2018-09-10,2018-09-21,-1188.16,-1.188,False,stop,8,bull
LUPIN.NS,Pharma,A_flat_base,2023-06-22,2023-07-27,1669.4,1.669,True,target_2r,25,bull
LUPIN.NS,Pharma,A_flat_base,2023-07-28,2023-08-09,2056.6,2.057,True,target_2r,9,bull
BIOCON.NS,Pharma,A_flat_base,2016-05-30,2016-08-08,2014.7,2.015,True,target_2r,50,bull
BIOCON.NS,Pharma,A_flat_base,2017-01-27,2017-02-20,1981.52,1.982,True,target_2r,17,bull
BIOCON.NS,Pharma,A_flat_base,2018-01-22,2018-04-24,1862.45,1.862,True,target_2r,62,bull
BIOCON.NS,Pharma,A_flat_base,2018-04-25,2018-05-07,-1103.98,-1.104,False,stop,8,bull
BIOCON.NS,Pharma,A_flat_base,2024-09-05,2024-10-04,-1299.86,-1.3,False,stop,21,bull
TORNTPHARM.NS,Pharma,A_flat_base,2016-08-25,2016-10-27,-1042.33,-1.042,False,stop_gap_down,42,bull
TORNTPHARM.NS,Pharma,A_flat_base,2019-01-11,2019-02-15,-1146.73,-1.147,False,stop,25,bull
TORNTPHARM.NS,Pharma,A_flat_base,2019-10-25,2020-01-20,1855.55,1.856,True,target_2r,60,bull
TORNTPHARM.NS,Pharma,A_flat_base,2021-06-15,2022-01-27,-1141.68,-1.142,False,stop,156,bull
TORNTPHARM.NS,Pharma,A_flat_base,2023-06-01,2023-11-21,1699.82,1.7,True,target_2r,118,bull
TORNTPHARM.NS,Pharma,A_flat_base,2024-01-12,2024-05-27,1842.98,1.843,True,target_2r,88,bull
TORNTPHARM.NS,Pharma,A_flat_base,2024-09-02,2024-10-29,-1068.12,-1.068,False,stop,41,bull
AUROPHARMA.NS,Pharma,A_flat_base,2016-09-23,2016-11-03,-1143.64,-1.144,False,stop,27,bull
AUROPHARMA.NS,Pharma,A_flat_base,2018-09-07,2019-05-17,-1129.96,-1.13,False,stop,166,bull
AUROPHARMA.NS,Pharma,A_flat_base,2021-06-14,2021-06-17,-1174.74,-1.175,False,stop,4,bull
AUROPHARMA.NS,Pharma,A_flat_base,2023-05-17,2023-05-19,-1100.34,-1.1,False,stop,3,bull
AUROPHARMA.NS,Pharma,A_flat_base,2023-06-27,2023-07-27,1934.36,1.934,True,target_2r,22,bull
AUROPHARMA.NS,Pharma,A_flat_base,2023-07-28,2023-11-10,1597.19,1.597,True,target_2r,72,bull
AUROPHARMA.NS,Pharma,A_flat_base,2023-12-22,2024-02-07,-1188.23,-1.188,False,stop,31,bull
AUROPHARMA.NS,Pharma,A_flat_base,2024-07-16,2024-08-28,1996.05,1.996,True,target_2r,30,bull
AUROPHARMA.NS,Pharma,A_flat_base,2024-09-13,2024-09-20,-1122.88,-1.123,False,stop,6,bull
