symbol,sector,entry_date,exit_date,trading_days,entry,stop_initial,stop_final,target,exit_price,exit_reason,shares,pnl,r_multiple,win,market_state,season_score,rs_vs_nifty,adx_at_entry,pullback_candles,nifty_return_pct,nifty_green
APOLLOHOSP.NS,Healthcare,2023-07-07,2023-07-10,2,5236.59,4996.14,5087.607428991074,5717.49,5087.607428991074,stop,4,-695.93,-0.696,False,bull,66.7,12.7,41.7,5,-0.73,False
TATAPOWER.NS,Utilities,2021-02-17,2021-02-19,3,87.41,82.41,86.6533863919835,97.42,86.6533863919835,stop,199,-250.57,-0.251,False,bull,49.4,40.9,28.3,2,-2.17,False
TATAPOWER.NS,Utilities,2023-08-23,2023-08-25,3,242.34,225.11,243.9280597430927,276.8,243.9280597430927,stop,58,-7.89,-0.008,False,bull,53.4,13.1,25.2,5,-0.67,False
SHREECEM.NS,Cement,2016-04-20,2016-04-21,2,12601.56,11647.8,12234.36378187492,14509.07,12234.36378187492,stop,1,-467.2,-0.467,False,bull,50.0,17.2,29.2,5,-0.03,False
HAVELLS.NS,Consumer Electricals,2020-12-16,2020-12-21,4,834.42,784.23,876.1332046262837,934.79,876.1332046262837,stop,19,692.55,0.693,True,bull,50.0,11.1,44.0,5,-1.76,False
HAVELLS.NS,Consumer Electricals,2021-02-26,2021-02-26,1,1127.7,1078.5,1117.1232005820557,1226.11,1117.1232005820557,stop,20,-311.54,-0.312,False,bull,80.0,27.2,43.9,4,-3.76,False
BERGEPAINT.NS,Consumer,2016-08-29,2016-08-31,3,199.33,191.02,206.6751800698605,215.94,206.6751800698605,stop,120,781.42,0.781,True,bull,73.3,16.8,29.6,3,2.49,True
BERGEPAINT.NS,Consumer,2018-08-13,2018-08-16,3,263.7,246.36,258.64760794335353,298.37,258.64760794335353,stop,57,-387.99,-0.388,False,bull,73.3,12.1,38.0,5,-0.39,False
BERGEPAINT.NS,Consumer,2019-12-20,2019-12-26,4,410.96,394.43,419.1675263226071,444.02,419.1675263226071,stop,60,392.45,0.392,True,bull,70.0,25.2,27.7,5,-1.09,False
BERGEPAINT.NS,Consumer,2024-09-05,2024-09-06,2,595.6,563.1,589.0963503840238,660.61,589.0466581690333,stop_gap_down,30,-296.6,-0.297,False,bull,56.7,16.9,30.2,5,-1.38,False
MARICO.NS,FMCG,2021-05-28,2021-06-03,5,447.59,428.85,453.1721081367794,485.08,467.339599609375,hard_time_exit,53,946.73,0.947,True,bull,55.6,10.3,37.7,4,2.3,True
MARICO.NS,FMCG,2021-08-02,2021-08-04,3,518.27,494.86,504.5704738881985,565.08,504.5704738881985,stop,42,-675.38,-0.675,False,bull,58.9,25.1,40.7,5,3.15,True
