Loading instrument list from /Users/jithendrabethi/Desktop/my_projects/Project Nemesis/experiments/nse_movers/dhan_instruments.csv...
[412/2730] Downloading GRINDWELL... OK (92581 rows)
[413/2730] Downloading RAMANEWS... OK (91011 rows)
[414/2730] Downloading MANUGRAPH... OK (84033 rows)
[415/2730] Downloading VOLTAMP... OK (92371 rows)
[416/2730] Downloading RADIANTCMS... OK (61859 rows)
[417/2730] Downloading ATLANTAA... OK (79777 rows)
[418/2730] Downloading ACE... OK (92663 rows)
[419/2730] Downloading HGM... OK (86817 rows)
[420/2730] Downloading ANTELOPUS... OK (92479 rows)
[421/2730] Downloading ANDHRSUGAR... OK (92626 rows)
[422/2730] Downloading HIMATSEIDE... OK (87981 rows)
[423/2730] Downloading IRCTC... OK (92793 rows)
[424/2730] Downloading ANANTRAJ... OK (85444 rows)
[425/2730] Downloading BILVYAPAR... OK (55840 rows)
[426/2730] Downloading HINDALCO... OK (92784 rows)
[427/2730] Downloading SKYGOLD... OK (61442 rows)
[428/2730] Downloading JMFINANCIL... OK (92698 rows)
[429/2730] Downloading ELECON... OK (92649 rows)
[430/2730] Downloading BANKADD... OK (61248 rows)
[431/2730] Downloading TALBROAUTO... OK (92466 rows)
[432/2730] Downloading ALICON... OK (92141 rows)
[433/2730] Downloading GEECEE... OK (91199 rows)
[434/2730] Downloading MADHUCON... OK (79617 rows)
[435/2730] Downloading NRL... OK (61384 rows)
[436/2730] Downloading AERONEU... OK (60933 rows)
[437/2730] Downloading INFOMEDIA... OK (57635 rows)
[438/2730] Downloading VISHWARAJ... OK (92510 rows)
[439/2730] Downloading FIEMIND... OK (92553 rows)
[440/2730] Downloading HINDCOMPOS... OK (91308 rows)
[441/2730] Downloading JHS... OK (90693 rows)
[442/2730] Downloading DCBBANK... OK (92683 rows)
[443/2730] Downloading INSPIRISYS... OK (71975 rows)
[444/2730] Downloading GLOBALVECT... OK (85438 rows)
[445/2730] Downloading SHYAMTEL... OK (64596 rows)
[446/2730] Downloading GTLINFRA... OK (85007 rows)
[447/2730] Downloading HCC... OK (92716 rows)
[448/2730] Downloading FLUOROCHEM... OK (87964 rows)
[449/2730] Downloading NAUKRI... OK (92724 rows)
[450/2730] Downloading MANOMAY... OK (58608 rows)
[451/2730] Downloading SHIVAMAUTO... OK (85909 rows)
[452/2730] Downloading BBL... OK (92464 rows)
[453/2730] Downloading VGL... OK (86074 rows)
[454/2730] Downloading GESHIP... OK (92659 rows)
[455/2730] Downloading TORNTPOWER... OK (92711 rows)
[456/2730] Downloading BAIDFIN... OK (49640 rows)
[457/2730] Downloading PARSVNATH... OK (85803 rows)
[458/2730] Downloading MANALIPETC... OK (85796 rows)
[459/2730] Downloading SUTLEJTEX... OK (92154 rows)
[460/2730] Downloading GREENPANEL... OK (87250 rows)
[461/2730] Downloading FEL... OK (50715 rows)
[462/2730] Downloading LTFOODS... OK (92691 rows)
[463/2730] Downloading KAMOPAINTS... OK (60241 rows)
[464/2730] Downloading RUCHIRA... OK (92385 rows)
[465/2730] Downloading SOBHA... OK (92712 rows)
[466/2730] Downloading DONEAR... OK (26244 rows)
[467/2730] Downloading MMFL... OK (91958 rows)
[468/2730] Downloading CLCIND... OK (1453 rows)
[469/2730] Downloading VENUSREM... OK (91119 rows)
[470/2730] Downloading AARTIPHARM... OK (59840 rows)
[471/2730] Downloading KUANTUM... OK (91747 rows)
[472/2730] Downloading JINDRILL... OK (92298 rows)
[473/2730] Downloading BANCOINDIA... OK (92583 rows)
[474/2730] Downloading ARIHANT... OK (1660 rows)
[475/2730] Downloading HIRECT... OK (80795 rows)
[476/2730] Downloading CREST... OK (81356 rows)
[477/2730] Downloading PLASTIBLEN... OK (87002 rows)
[478/2730] Downloading NFL... OK (92643 rows)
[479/2730] Downloading HINDUNILVR... OK (92775 rows)
[480/2730] Downloading PRAENG... OK (79412 rows)
[481/2730] Downloading LIQUID1... OK (49533 rows)
[482/2730] Downloading PARACABLES... OK (61628 rows)
[483/2730] Downloading HBLENGINE... OK (92699 rows)
[484/2730] Downloading TANLA... OK (87271 rows)
[485/2730] Downloading JASH... OK (91923 rows)
[486/2730] Downloading ABSLBANETF... OK (88408 rows)
[487/2730] Downloading ZEEMEDIA... OK (88329 rows)
[488/2730] Downloading AVTNPL... OK (92567 rows)
[489/2730] Downloading LUMAXTECH... OK (92545 rows)
[490/2730] Downloading VEEDOL... OK (87794 rows)
[491/2730] Downloading HINDOILEXP... OK (92671 rows)
[492/2730] Downloading SARLAPOLY... OK (92558 rows)
[493/2730] Downloading SANGHVIMOV... OK (92497 rows)
[494/2730] Downloading HINDPETRO... OK (92744 rows)
[495/2730] Downloading ASMS... OK (49600 rows)
[496/2730] Downloading WANBURY... OK (86650 rows)
[497/2730] Downloading SAGCEM... OK (92543 rows)
[498/2730] Downloading IGPL... OK (92581 rows)
[499/2730] Downloading SIYSIL... OK (92592 rows)
[500/2730] Downloading PTL... OK (92382 rows)
[501/2730] Downloading AUTOIND... OK (79261 rows)
[502/2730] Downloading NETWORK18... OK (92678 rows)
[503/2730] Downloading GANDHITUBE... OK (91432 rows)
